PrimaryKey,Korea,English,Japanese,Chinese,German,Spanish,Portuguese,French,Italian,Dutch,Russian,Hungarian,Greek,Turkish,Vietnamese,Malay,Indonesian
1931477057,부가 효과 변경 ( 무기 ),Change additional effect (weapons),追加効果（武器）を変更する,改变额外效果（武器）,Zusätzliche Wirkung ändern (Waffen),Cambiar efecto adicional (armas),Alterar efeito adicional (armas),Changer un effet supplémentaire (armes),Cambia Effetto aggiuntivo (armi),Verander extra effect (wapens),Изменить дополнительный эффект (оружие),További hatás módosítása (fegyverek),Αλλάξτε πρόσθετο αποτέλεσμα (όπλα),Ek Etkiyi Değiştir (Silahlar),Thay đổi hiệu ứng bổ sung (vũ khí),Tukar Kesan Tambahan (Senjata),Ubah Efek Tambahan (Senjata)
1931477058,부가 효과 변경 ( 장비 ),Change additional effect (gears),追加効果（ギア）を変更する,更改额外效果（齿轮）,Zusätzliche Wirkung ändern (Zahnräder),Cambiar efecto adicional (engranajes),Alterar efeito adicional (engrenagens),Modifier l'effet supplémentaire (engrenages),Modifica Effetto aggiuntivo (Gears),Verander extra effect (versnellingen),Изменить дополнительный эффект (передачи),További hatás módosítása (fogaskerekek),Αλλάξτε πρόσθετο αποτέλεσμα (γρανάζια),Ek Etkiyi Değiştir (dişliler),Thay đổi hiệu ứng bổ sung (bánh răng),Tukar Kesan Tambahan (Gears),Ubah Efek Tambahan (Gears)
1931477059,능력치 변경 ( 무기 ),Change stats (weapons),統計（武器）を変更する,更改统计数据（武器）,Statistiken (Waffen) ändern,Cambiar estadísticas (armas),Alterar estatísticas (armas),Modifier les statistiques (armes),Cambia le statistiche (armi),Verander statistieken (wapens),Изменить статистику (оружие),Statisztikák (fegyverek) módosítása,Αλλαγή στατιστικών (όπλα),Değişiklik İstatistikleri (Silahlar),Thay đổi số liệu thống kê (vũ khí),Tukar Statistik (Senjata),Ubah statistik (senjata)
1931477060,능력치 변경 ( 장비 ),Change stats (gears),統計（ギア）を変更する,更改统计数据（齿轮）,Statistiken (Zahnräder) ändern,Cambiar estadísticas (engranajes),Alterar estatísticas (engrenagens),Modifier les statistiques (engrenages),Cambia le statistiche (ingranaggi),Verander statistieken (versnellingen),Изменить статистику (передачи),Statisztikák (fogaskerekek) módosítása,Αλλαγή στατιστικών (εργαλεία),İstatistikleri Değiştir (dişliler),Thay đổi số liệu thống kê (bánh răng),Tukar statistik (gear),Ubah statistik (roda gigi)
1931477061,상자 열기 ( 무기 상자 ),Open the box (weapon box),箱を開ける（武器箱）,打开盒子（武器盒）,Öffnen Sie die Box (Waffenbox),Abra la caja (caja de armas),Abra a caixa (caixa de armas),Ouvrez la boîte (boîte d'armes),Apri la scatola (scatola dell'arma),Open de doos (wapenbox),Откройте коробку (коробка для оружия),Nyissa ki a dobozt (fegyverdoboz),Ανοίξτε το κουτί (κουτί όπλων),Kutuyu Aç (Silah Kutusu),Mở hộp (hộp vũ khí),Buka Kotak (Kotak Senjata),Buka kotak (kotak senjata)
1931477062,상자 열기 ( 희귀 무기 상자 ),Open the box (rare weapon box),箱を開ける（珍しい武器箱）,打开盒子（稀有武器盒）,Öffnen Sie die Schachtel (seltene Waffenbox),Abra la caja (caja de armas raras),Abra a caixa (caixa de arma rara),Ouvrez la boîte (boîte d'armes rares),Apri la scatola (Rare Weapon Box),Open de doos (zeldzame wapenbox),Откройте коробку (редкая коробка оружия),Nyissa ki a dobozt (ritka fegyverdoboz),Ανοίξτε το κουτί (σπάνια κουτί όπλων),Kutuyu Aç (Nadir Silah Kutusu),Mở hộp (hộp vũ khí hiếm),Buka Kotak (Kotak Senjata Rare),Buka kotak (kotak senjata langka)
1931477063,상자 열기 ( 자원 상자 ),Open the box (resource box),ボックスを開く（リソースボックス）,打开框（资源框）,Öffnen Sie die Box (Ressourcenbox),Abra el cuadro (caja de recursos),Abra a caixa (caixa de recursos),Ouvrez la boîte (boîte de ressources),Apri la scatola (scatola delle risorse),Open de doos (resource box),Откройте коробку (коробка ресурсов),Nyissa meg a négyzetet (erőforrás mező),Ανοίξτε το πλαίσιο (πλαίσιο πόρων),Kutuyu Aç (Kaynak Kutusu),Mở hộp (hộp tài nguyên),Buka Kotak (Kotak Sumber),Buka kotak (Kotak Sumber Daya)
1931477064,상자 열기 ( 재료 상자 ),Open box (luxury resource box),オープンボックス（高級リソースボックス）,开放箱（豪华资源盒）,Öffnen Sie Box (Luxus -Ressourcenbox),Abrir caja (caja de recursos de lujo),Caixa aberta (caixa de recursos de luxo),Boîte ouverte (boîte de ressources de luxe),Open Box (Luxury Resource Box),Open doos (luxe resource box),Открытая коробка (коробка для ресурсов роскоши),Nyissa meg a dobozt (luxus erőforrás doboz),Ανοιχτό κουτί (πολυτελές κουτί πόρων),Açık Kutu (Lüks Kaynak Kutusu),Hộp mở (Hộp tài nguyên sang trọng),Kotak Buka (Kotak Sumber Mewah),Kotak Terbuka (Kotak Sumber Daya Mewah)
1931477065,부활,Resurrection,復活,复活,Auferstehung,Resurrección,Ressurreição,Résurrection,Risurrezione,Opstanding,Воскрешение,Feltámadás,Ανάσταση,Diriliş,Phục sinh,Kebangkitan,Kebangkitan
1931477066,상점 구매 ( 일일 상점 ),Shop Offer (daily),ショップオファー（毎日）,商店优惠（每日）,Ladenangebot (täglich),Oferta de tienda (diariamente),Oferta de loja (diariamente),Offre de magasin (quotidien),Offerta di negozio (quotidiano),Winkelaanbieding (dagelijks),Предложение магазина (ежедневно),Üzleti ajánlat (napi),Προσφορά καταστήματος (καθημερινά),Mağaza teklifi (günlük),Ưu đãi cửa hàng (hàng ngày),Tawaran Kedai (setiap hari),Penawaran Toko (Harian)
1931477067,미션 자동 완료,Mission automatic completion,ミッションオートマチック完了,任务自动完成,Mission Automatische Fertigstellung,Finalización automática de la misión,Conclusão automática da missão,Mission Achèvement automatique,Completamento automatico della missione,Missie Automatische voltooiing,Миссия автоматическое завершение,Küldetés automatikus befejezése,Αυτόματη ολοκλήρωση αποστολής,Görev Otomatik Tamamlama,Nhiệm vụ hoàn thành tự động,Penyelesaian Automatik Misi,Penyelesaian Otomatis Misi
1931477068,부스트 ( 사냥 ),Boost (hunting),ブースト（ハンティング）,提升（狩猎）,Boost (Jagd),Boost (caza),Boost (caça),Boost (chasse),Boost (caccia),Boost (jagen),Повысить (охота),Boost (vadászat),Boost (κυνήγι),Boost (avcılık),Boost (săn bắn),Meningkatkan (Memburu),Boost (berburu)
1931477069,돌파 ( 장비 ),Limnit Break (gear),Limnit Break（ギア）,limnit断裂（齿轮）,Limnit Break (Ausrüstung),Break Limnit (equipo),Break Limnit (engrenagem),Break Limnit (équipement),Limnit Break (Gear),Limnit Break (versnelling),Limnit Break (передача),Limnit break (felszerelés),Χαρακτηριστικό διάλειμμα (εργαλεία),Limnit Break (dişli),Limnit Break (Gear),Limnit Break (gear),Limnit Break (gigi)
1931477070,광고 제거 ( 자동 사용 ),Remove Ads. ( Aruto ),広告を削除。 (或人),移除广告。 （阿鲁托）,Anzeigen entfernen. (Aruto),Quitar anuncios. (Aruto),Remover propagandas. (Aruto),Supprimez la pub. (Aruto),Rimuovere gli annunci. (Aruto),Verwijder advertenties. (Aruto),Убрать рекламу. ( Аруто ),Hirdetések eltávolítása. (Aruto),Αφαίρεσε τις διαφημίσεις. (Αρούτο),Reklamları kaldırmak. (Aruto),Loại bỏ các quảng cáo. ( Aruto ),Alih Keluar Iklan. ( Aruto ),Hilangkan iklan. (Aruto)
